Disease,Disease_id,Gene,Gene_id,UniProt,Gene_Full_Name,Protein_Class,N_diseases_g,DSI_g,DPI_g,pLI,Score_gda,EL_gda,EI_gda,N_PMIDs,N_SNPs_gda,First_Ref,Last_Ref
Alzheimer's Disease,C0002395,EDN1,1906,P05305,endothelin 1,Signaling,679,0.38,0.846,0.45504,0.05,,1,5,0,2012,2019
Alzheimer's Disease,C0002395,EEF2,1938,P13639,eukaryotic translation elongation factor 2,Enzyme,83,0.599,0.731,0.99995,0.05,,1,5,0,1992,2019
Alzheimer's Disease,C0002395,EGFR,1956,P00533,epidermal growth factor receptor,Kinase,1394,0.295,0.885,0.36837,0.05,,1,5,2,2012,2019
Alzheimer's Disease,C0002395,ELANE,1991,P08246,"elastase, neutrophil expressed",Enzyme,346,0.447,0.846,0.0012274,0.05,,1,5,0,1998,2017
Alzheimer's Disease,C0002395,ELAVL2,1993,Q12926,ELAV like RNA binding protein 2,,199,0.486,0.808,0.99514,0.05,,1,5,0,2018,2020
Alzheimer's Disease,C0002395,EPHA4,2043,P54764,EPH receptor A4,Kinase,118,0.566,0.846,1,0.05,,1,5,0,2017,2019
Alzheimer's Disease,C0002395,ETS2,2114,P15036,"ETS proto-oncogene 2, transcription factor",Transcription factor,115,0.548,0.808,0.99888,0.05,,0.8,5,0,1987,2014
Alzheimer's Disease,C0002395,F2R,2149,P25116,coagulation factor II thrombin receptor,G-protein coupled receptor,347,0.444,0.846,0.0084678,0.05,,1,5,0,2007,2017
Alzheimer's Disease,C0002395,SYNM,23336,O15061,synemin,,93,0.575,0.731,0.0000000000000000000000030339,0.05,,1,5,0,2014,2019
Alzheimer's Disease,C0002395,FN1,2335,P02751,fibronectin 1,Signaling,724,0.365,0.962,0.0014045,0.05,,1,5,0,1995,2019
Alzheimer's Disease,C0002395,FOS,2353,P01100,"Fos proto-oncogene, AP-1 transcription factor subunit",Transcription factor,528,0.411,0.885,0.26176,0.05,,0.6,5,0,1994,2013
Alzheimer's Disease,C0002395,ABCA4,24,P78363,ATP binding cassette subfamily A member 4,Transporter,227,0.493,0.769,0.0000000000000000000000000000000000000000000000053499,0.05,,1,5,0,2006,2018
Alzheimer's Disease,C0002395,GDF2,2658,Q9UK05,growth differentiation factor 2,Signaling,152,0.529,0.731,0.0024656,0.05,,1,5,0,2017,2018
Alzheimer's Disease,C0002395,GH1,2688,P01241,growth hormone 1,Signaling,686,0.373,0.923,0.030057,0.05,,0.8,5,1,2000,2018
Alzheimer's Disease,C0002395,TMEM97,27346,Q5BJF2,transmembrane protein 97,Enzyme,78,0.604,0.615,0.00031267,0.05,,1,5,0,2017,2019
Alzheimer's Disease,C0002395,HTRA2,27429,O43464,HtrA serine peptidase 2,,151,0.542,0.692,0.0035755,0.05,,1,5,2,2004,2019
Alzheimer's Disease,C0002395,GLUL,2752,P15104,glutamate-ammonia ligase,Enzyme,200,0.513,0.731,0.9957,0.05,,1,5,0,2002,2018
Alzheimer's Disease,C0002395,GPR3,2827,P46089,G protein-coupled receptor 3,G-protein coupled receptor,18,0.743,0.5,0.00026263,0.05,,1,5,0,2013,2020
Alzheimer's Disease,C0002395,TMED10P1,286102,,transmembrane p24 trafficking protein 10 pseudogene 1,,44,0.663,0.615,,0.05,,1,5,0,2008,2019
Alzheimer's Disease,C0002395,GRK5,2869,P34947,G protein-coupled receptor kinase 5,Kinase,86,0.588,0.769,0.67567,0.05,,0.8,5,1,2006,2019
Alzheimer's Disease,C0002395,GRM2,2912,Q14416,glutamate metabotropic receptor 2,G-protein coupled receptor,104,0.582,0.577,0.12019,0.05,,1,5,0,2007,2011
Alzheimer's Disease,C0002395,GSTT1,2952,P30711,glutathione S-transferase theta 1,,541,0.393,0.923,0.00014834,0.05,,0.8,5,0,1999,2016
Alzheimer's Disease,C0002395,EEF2K,29904,O00418,eukaryotic elongation factor 2 kinase,Kinase,52,0.641,0.385,0.000000000000000000083628,0.05,,1,5,0,2005,2019
Alzheimer's Disease,C0002395,HLA-A,3105,P04439,"major histocompatibility complex, class I, A",,672,0.37,0.846,0.0013299,0.05,,1,5,0,1980,2017
Alzheimer's Disease,C0002395,HMGB1,3146,P09429,high mobility group box 1,Nucleic acid binding,724,0.368,0.923,0.82035,0.05,,1,5,0,2003,2019
Alzheimer's Disease,C0002395,HSPA1B,3304,P0DMV8;P0DMV9,heat shock protein family A (Hsp70) member 1B,,251,0.474,0.808,0.0053464,0.05,,1,5,0,1993,2015
Alzheimer's Disease,C0002395,HSPA5,3309,P11021,heat shock protein family A (Hsp70) member 5,,350,0.434,0.885,0.77341,0.05,,1,5,2,1999,2017
Alzheimer's Disease,C0002395,HSPA8,3312,P11142,heat shock protein family A (Hsp70) member 8,,124,0.553,0.808,0.99863,0.05,,1,5,0,2010,2018
Alzheimer's Disease,C0002395,PWAR4,347745,,Prader Willi/Angelman region RNA 4,,99,0.573,0.769,,0.05,,1,5,0,1998,2018
Alzheimer's Disease,C0002395,IGFBP2,3485,P18065,insulin like growth factor binding protein 2,Enzyme modulator,241,0.478,0.769,0.11898,0.05,,1,5,0,2017,2019
Alzheimer's Disease,C0002395,MIR137,406928,,microRNA 137,,171,0.513,0.846,,0.05,,0.8,5,0,2012,2019
Alzheimer's Disease,C0002395,MIR21,406991,,microRNA 21,,726,0.363,0.846,,0.05,,1,5,0,2015,2019
Alzheimer's Disease,C0002395,MIR212,406994,,microRNA 212,,126,0.535,0.808,,0.05,,1,5,0,2011,2019
Alzheimer's Disease,C0002395,MIR29B1,407024,,microRNA 29b-1,,212,0.485,0.846,,0.05,,1,5,0,2013,2019
Alzheimer's Disease,C0002395,MEF2C,4208,Q06413,myocyte enhancer factor 2C,Transcription factor,206,0.517,0.769,0.017256,0.05,,1,5,0,2015,2018
Alzheimer's Disease,C0002395,MMP2,4313,P08253,matrix metallopeptidase 2,Enzyme,1021,0.333,0.923,0.83878,0.05,,0.8,5,0,1994,2018
Alzheimer's Disease,C0002395,MMP14,4323,P50281,matrix metallopeptidase 14,Enzyme,340,0.447,0.769,0.99522,0.05,,1,5,0,2014,2019
Alzheimer's Disease,C0002395,MIR342,442909,,microRNA 342,,111,0.547,0.769,,0.05,,1,5,0,2014,2019
Alzheimer's Disease,C0002395,MSMB,4477,P08118,microseminoprotein beta,Signaling,195,0.498,0.846,0.016199,0.05,,0.8,5,0,2000,2020
Alzheimer's Disease,C0002395,MYCL,4610,P12524,"MYCL proto-oncogene, bHLH transcription factor",Transcription factor,79,0.599,0.731,0.11551,0.05,,1,5,0,2016,2018
Alzheimer's Disease,C0002395,ATM,472,Q13315,ATM serine/threonine kinase,Kinase,684,0.374,0.885,0.000000000000000000000000000000000000000000000055884,0.05,,1,5,0,2013,2019
Alzheimer's Disease,C0002395,NEDD9,4739,Q14511,"neural precursor cell expressed, developmentally down-regulated 9",,113,0.548,0.769,0.12634,0.05,,1,5,1,2008,2012
Alzheimer's Disease,C0002395,NTSR1,4923,P30989,neurotensin receptor 1,G-protein coupled receptor,124,0.563,0.692,0.00000001928,0.05,,0.8,5,0,2006,2015
Alzheimer's Disease,C0002395,P4HB,5034,P07237,prolyl 4-hydroxylase subunit beta,,222,0.488,0.808,0.99662,0.05,,1,5,0,2010,2019
Alzheimer's Disease,C0002395,PRKN,5071,O60260,parkin RBR E3 ubiquitin protein ligase,Enzyme,409,0.431,0.846,0.00000069346,0.05,,1,5,0,2010,2017
Alzheimer's Disease,C0002395,NME8,51314,Q8N427,NME/NM23 family member 8,,59,0.644,0.692,0.00000000000000000000000000055821,0.05,,1,5,0,2014,2017
Alzheimer's Disease,C0002395,IL23A,51561,Q9NPF7,interleukin 23 subunit alpha,Signaling,427,0.415,0.846,0.35806,0.05,,1,5,0,2012,2020
Alzheimer's Disease,C0002395,PECAM1,5175,P16284,platelet and endothelial cell adhesion molecule 1,Cell adhesion,396,0.426,0.846,,0.05,,0.8,5,0,2006,2019
Alzheimer's Disease,C0002395,CALML5,51806,Q9NZT1,calmodulin like 5,Calcium-binding protein,6,0.89,0.269,,0.05,,1,5,0,2013,2019
Alzheimer's Disease,C0002395,PLTP,5360,P55058,phospholipid transfer protein,,62,0.633,0.654,0.0000000089961,0.05,,1,5,0,2001,2015
Alzheimer's Disease,C0002395,TREM1,54210,Q9NP99,triggering receptor expressed on myeloid cells 1,,172,0.515,0.808,0.0062776,0.05,,1,5,1,2016,2020
Alzheimer's Disease,C0002395,POU5F1,5460,Q01860,POU class 5 homeobox 1,,328,0.441,0.846,0.95371,0.05,,1,5,0,2016,2018
Alzheimer's Disease,C0002395,SAMD9,54809,Q5K651,sterile alpha motif domain containing 9,,90,0.606,0.808,0.0000000000000000000000000000000010521,0.05,,1,5,0,1994,2011
Alzheimer's Disease,C0002395,MAPK10,5602,P53779,mitogen-activated protein kinase 10,Kinase,75,0.606,0.692,0.27553,0.05,,1,5,0,1995,2019
Alzheimer's Disease,C0002395,PSPN,5623,O60542,persephin,Signaling,70,0.608,0.769,0.00011172,0.05,,0.8,5,0,2000,2020
Alzheimer's Disease,C0002395,LGMN,5641,Q99538,legumain,Enzyme,95,0.579,0.731,0.00040535,0.05,,1,5,0,2017,2019
Alzheimer's Disease,C0002395,HTRA1,5654,Q92743,HtrA serine peptidase 1,Enzyme,164,0.532,0.692,0.00049201,0.05,,0.8,5,0,2005,2019
Alzheimer's Disease,C0002395,PSPH,5723,P78330,phosphoserine phosphatase,Enzyme,114,0.57,0.808,0.00096703,0.05,,0.8,5,1,2000,2020
Alzheimer's Disease,C0002395,PTBP1,5725,P26599,polypyrimidine tract binding protein 1,,172,0.517,0.769,0.99961,0.05,,1,5,0,2011,2019
Alzheimer's Disease,C0002395,PTEN,5728,P60484,phosphatase and tensin homolog,Enzyme,1349,0.305,0.923,0.25651,0.05,,1,5,0,2013,2019
Alzheimer's Disease,C0002395,NDRG2,57447,Q9UN36,NDRG family member 2,Enzyme,156,0.518,0.692,0.000022044,0.05,,1,5,0,2004,2020
Alzheimer's Disease,C0002395,PTPN1,5770,P18031,protein tyrosine phosphatase non-receptor type 1,,169,0.523,0.731,0.81293,0.05,,1,5,0,2011,2018
Alzheimer's Disease,C0002395,HAMP,57817,P81172,hepcidin antimicrobial peptide,,377,0.433,0.846,0.0081797,0.05,,1,5,0,2017,2019
Alzheimer's Disease,C0002395,PTPRC,5788,P08575,protein tyrosine phosphatase receptor type C,Enzyme,366,0.435,0.808,1,0.05,,0.8,5,0,1997,2020
Alzheimer's Disease,C0002395,BCYRN1,618,,brain cytoplasmic RNA 1,,38,0.666,0.423,,0.05,,1,5,0,1992,2018
Alzheimer's Disease,C0002395,MIR455,619556,,microRNA 455,,92,0.559,0.769,,0.05,,1,5,0,2017,2019
Alzheimer's Disease,C0002395,POU5F1P3,642559,,POU class 5 homeobox 1 pseudogene 3,,285,0.452,0.808,,0.05,,1,5,0,2016,2018
Alzheimer's Disease,C0002395,POU5F1P4,645682,,POU class 5 homeobox 1 pseudogene 4,,284,0.452,0.808,,0.05,,1,5,0,2016,2018
Alzheimer's Disease,C0002395,RTN4R,65078,Q9BZR6,reticulon 4 receptor,,75,0.595,0.692,0.95882,0.05,,1,5,0,2006,2008
Alzheimer's Disease,C0002395,SLC2A1,6513,P11166,solute carrier family 2 member 1,Transporter,687,0.388,0.808,0.9941,0.05,,1,5,0,2007,2020
Alzheimer's Disease,C0002395,SLC2A3,6515,P11169,solute carrier family 2 member 3,Transporter,144,0.534,0.769,0.010333,0.05,,1,5,0,2013,2019
Alzheimer's Disease,C0002395,SPTBN1,6711,Q01082,"spectrin beta, non-erythrocytic 1",,76,0.619,0.538,1,0.05,,0.8,5,0,2016,2020
Alzheimer's Disease,C0002395,STXBP3,6814,O00186,syntaxin binding protein 3,Transporter,69,0.61,0.769,0.000051597,0.05,,0.8,5,0,2000,2020
Alzheimer's Disease,C0002395,SYN1,6853,P17600,synapsin I,Cellular structure,80,0.597,0.462,0.99216,0.05,,1,5,0,1996,2017
Alzheimer's Disease,C0002395,SYT1,6857,P21579,synaptotagmin 1,Transporter,460,0.412,0.846,0.60038,0.05,,1,5,0,2005,2019
Alzheimer's Disease,C0002395,PRDX2,7001,P32119,peroxiredoxin 2,Enzyme,243,0.474,0.885,0.086513,0.05,,0.8,5,0,2001,2012
Alzheimer's Disease,C0002395,TGM2,7052,P21980,transglutaminase 2,Enzyme,315,0.445,0.808,0.0000000000000000068118,0.05,,1,5,0,1998,2017
Alzheimer's Disease,C0002395,TIMP1,7076,P01033,TIMP metallopeptidase inhibitor 1,Enzyme modulator,603,0.38,0.885,0.4993,0.05,,1,5,0,2002,2018
Alzheimer's Disease,C0002395,SERPING1,710,P05155,serpin family G member 1,Enzyme modulator,207,0.507,0.769,0.96351,0.05,,1,5,0,1998,2019
Alzheimer's Disease,C0002395,CLDN5,7122,O00501,claudin 5,Cell-cell junction,104,0.559,0.769,0.89512,0.05,,1,5,0,2015,2019
Alzheimer's Disease,C0002395,TRPM2,7226,O94759,transient receptor potential cation channel subfamily M member 2,Ion channel,133,0.546,0.731,0.000000000000000000000000000000000000000000089633,0.05,,1,5,0,2015,2018
Alzheimer's Disease,C0002395,VIM,7431,P08670,vimentin,,644,0.372,0.846,0.71255,0.05,,1,5,0,2009,2018
Alzheimer's Disease,C0002395,XRCC1,7515,P18887,X-ray repair cross complementing 1,,410,0.421,0.923,0.0000000063386,0.05,,1,5,3,2007,2016
Alzheimer's Disease,C0002395,DDR1,780,Q08345,discoidin domain receptor tyrosine kinase 1,Kinase,195,0.497,0.808,0.0000046331,0.05,,1,5,0,2004,2011
Alzheimer's Disease,C0002395,RAB7A,7879,P51149,"RAB7A, member RAS oncogene family",,95,0.597,0.692,0.96933,0.05,,1,5,0,2011,2019
Alzheimer's Disease,C0002395,PLA2G7,7941,Q13093,phospholipase A2 group VII,Enzyme,136,0.537,0.769,0.00000000000000000000053314,0.05,,1,5,0,2010,2020
Alzheimer's Disease,C0002395,SLC52A2,79581,Q9HAB3,solute carrier family 52 member 2,Transporter,261,0.483,0.808,0.0024777,0.05,,1,5,0,2007,2017
Alzheimer's Disease,C0002395,LIN28A,79727,Q9H9Z2,lin-28 homolog A,Nucleic acid binding,161,0.523,0.731,0.019369,0.05,,1,5,0,2016,2018
Alzheimer's Disease,C0002395,TP63,8626,Q9H3D4,tumor protein p63,Transcription factor,816,0.362,0.769,0.99728,0.05,,1,5,0,2010,2018
Alzheimer's Disease,C0002395,CBS,875,P0DN79;P35520,cystathionine beta-synthase,Enzyme,295,0.465,0.885,0.000030799,0.05,,0.8,5,0,2004,2019
Alzheimer's Disease,C0002395,APLN,8862,Q9ULZ1,apelin,,226,0.497,0.769,0.45897,0.05,,1,5,0,2018,2020
Alzheimer's Disease,C0002395,KALRN,8997,O60229,kalirin RhoGEF kinase,Kinase,59,0.644,0.654,1,0.05,,1,5,0,2007,2019
Alzheimer's Disease,C0002395,F2RL3,9002,Q96RI0,F2R like thrombin or trypsin receptor 3,G-protein coupled receptor,133,0.539,0.769,0.000041298,0.05,,1,5,0,1998,2018
Alzheimer's Disease,C0002395,NTN1,9423,O95631,netrin 1,Enzyme modulator,209,0.509,0.846,0.99687,0.05,,1,5,0,2016,2019
Alzheimer's Disease,C0002395,ROCK2,9475,O75116,Rho associated coiled-coil containing protein kinase 2,Kinase,154,0.529,0.808,1,0.05,,1,5,0,2013,2019
Alzheimer's Disease,C0002395,ADAMTS2,9509,O95450,ADAM metallopeptidase with thrombospondin type 1 motif 2,Enzyme,138,0.579,0.808,0.9661,0.05,,1,5,0,2005,2019
Alzheimer's Disease,C0002395,CD59,966,P13987,CD59 molecule (CD59 blood group),,262,0.469,0.808,0.60568,0.05,,1,5,0,1991,2006
Alzheimer's Disease,C0002395,C20orf181,100128998,,chromosome 20 open reading frame 181,,246,0.479,0.885,,0.04,,0.75,4,0,2011,2018
Alzheimer's Disease,C0002395,OPTN,10133,Q96CV9,optineurin,,136,0.548,0.808,0.00000000000000000591,0.04,,1,4,0,2011,2020
Alzheimer's Disease,C0002395,CEBPZ,10153,Q03701,CCAAT enhancer binding protein zeta,Transcription factor,76,0.595,0.692,0.0000065282,0.04,,1,4,0,2017,2019
Alzheimer's Disease,C0002395,CDKN2A,1029,P42771;Q8N726,cyclin dependent kinase inhibitor 2A,,1314,0.3,0.885,0.39474,0.04,,1,4,0,1998,2016
Alzheimer's Disease,C0002395,CDR2,1039,Q01850,cerebellar degeneration related protein 2,,45,0.647,0.654,0.0000004299,0.04,,1,4,0,2017,2019
Alzheimer's Disease,C0002395,PLK2,10769,Q9NYY3,polo like kinase 2,Kinase,97,0.575,0.808,0.9999,0.04,,1,4,2,2010,2019
Alzheimer's Disease,C0002395,HPSE,10855,Q9Y251,heparanase,Enzyme,393,0.425,0.808,0.00000000000002266,0.04,,1,4,0,2012,2019
Alzheimer's Disease,C0002395,RAB10,10890,P61026,"RAB10, member RAS oncogene family",,21,0.736,0.192,0.97213,0.04,,1,4,0,2017,2019
Alzheimer's Disease,C0002395,MMP24,10893,Q9Y5R2,matrix metallopeptidase 24,Enzyme,26,0.743,0.423,0.67752,0.04,,1,4,0,2016,2019
Alzheimer's Disease,C0002395,ADCYAP1,116,P18509,adenylate cyclase activating polypeptide 1,Signaling,220,0.51,0.846,0.52424,0.04,,1,4,0,2014,2018
Alzheimer's Disease,C0002395,COL11A2,1302,P13942,collagen type XI alpha 2 chain,,399,0.435,0.846,0.70197,0.04,,0.75,4,0,2005,2019
Alzheimer's Disease,C0002395,ADM,133,P35318,adrenomedullin,Signaling,405,0.436,0.808,0.040831,0.04,,1,4,0,2016,2018
Alzheimer's Disease,C0002395,ADORA2A,135,P29274,adenosine A2a receptor,G-protein coupled receptor,213,0.526,0.769,0.5971,0.04,,1,4,0,2014,2017
Alzheimer's Disease,C0002395,C1orf52,148423,Q8N6N3,chromosome 1 open reading frame 52,,27,0.691,0.5,0.047382,0.04,,1,4,0,2009,2017
Alzheimer's Disease,C0002395,ADRA2B,151,P18089,adrenoceptor alpha 2B,G-protein coupled receptor,296,0.465,0.846,0.0000044533,0.04,,1,4,0,2011,2017
Alzheimer's Disease,C0002395,CYP2B6,1555,P20813,cytochrome P450 family 2 subfamily B member 6,,388,0.428,0.846,0.00000000019303,0.04,,1,4,0,2007,2018
Alzheimer's Disease,C0002395,CYP2C9,1559,P11712,cytochrome P450 family 2 subfamily C member 9,,201,0.506,0.885,0.00000000012709,0.04,,1,4,0,2005,2019
Alzheimer's Disease,C0002395,GRK2,156,P25098,G protein-coupled receptor kinase 2,Kinase,159,0.532,0.654,0.99998,0.04,,0.75,4,0,2006,2012
Alzheimer's Disease,C0002395,CD55,1604,P08174,CD55 molecule (Cromer blood group),,187,0.51,0.808,0.0000000000056753,0.04,,1,4,0,2017,2020
Alzheimer's Disease,C0002395,DAO,1610,P14920,D-amino acid oxidase,,78,0.636,0.615,0.00000000000000000000062271,0.04,,1,4,0,2017,2019
Alzheimer's Disease,C0002395,DCX,1641,O43602,doublecortin,,175,0.511,0.769,0.3042,0.04,,1,4,0,2013,2018
Alzheimer's Disease,C0002395,DDIT3,1649,P35638,DNA damage inducible transcript 3,,264,0.467,0.846,0.59066,0.04,,1,4,0,2007,2018
Alzheimer's Disease,C0002395,DIO2,1734,Q92813,iodothyronine deiodinase 2,,79,0.59,0.731,0.6196,0.04,,1,4,2,2007,2018
Alzheimer's Disease,C0002395,DRD1,1812,P21728,dopamine receptor D1,G-protein coupled receptor,181,0.529,0.808,0.9555,0.04,,1,4,0,1998,2020
Alzheimer's Disease,C0002395,DRD4,1815,P21917,dopamine receptor D4,G-protein coupled receptor,189,0.517,0.577,0.0000000093362,0.04,,1,4,0,1998,2016
Alzheimer's Disease,C0002395,AGTR2,186,P50052,angiotensin II receptor type 2,G-protein coupled receptor,229,0.496,0.808,0.0082345,0.04,,1,4,0,2009,2019
Alzheimer's Disease,C0002395,EIF4E,1977,P06730,eukaryotic translation initiation factor 4E,Nucleic acid binding,317,0.448,0.846,0.94133,0.04,,1,4,0,2010,2019
Alzheimer's Disease,C0002395,ELK3,2004,P41970,ETS transcription factor ELK3,Transcription factor,220,0.49,0.846,0.083508,0.04,,0.75,4,0,2010,2019
Alzheimer's Disease,C0002395,GGA3,23163,Q9NZ52,"golgi associated, gamma adaptin ear containing, ARF binding protein 3",,8,0.821,0.346,0.0000016701,0.04,,0.5,4,0,2007,2018
Alzheimer's Disease,C0002395,CRTC1,23373,Q6UUV9,CREB regulated transcription coactivator 1,Transcription factor,115,0.565,0.692,0.531,0.04,,1,4,0,2012,2017
Alzheimer's Disease,C0002395,FOLH1,2346,Q04609,folate hydrolase 1,Enzyme,311,0.453,0.885,0.0000000061977,0.04,,1,4,0,2010,2020
Alzheimer's Disease,C0002395,SRRM2,23524,Q9UQ35,serine/arginine repetitive matrix 2,,101,0.564,0.692,1,0.04,,1,4,0,2018,2019
Alzheimer's Disease,C0002395,FXN,2395,Q16595,frataxin,Enzyme,220,0.51,0.654,0.34491,0.04,,1,4,0,1998,2019
Alzheimer's Disease,C0002395,MS4A6E,245802,Q96DS6,membrane spanning 4-domains A6E,Receptor,1,1,0.077,0.029203,0.04,,0.75,4,0,2013,2017
Alzheimer's Disease,C0002395,ALOX15,246,P16050,arachidonate 15-lipoxygenase,Enzyme,205,0.502,0.846,0.000000000000000000000011397,0.04,,1,4,0,2004,2017
Alzheimer's Disease,C0002395,FNDC5,252995,Q8NAU1,fibronectin type III domain containing 5,,61,0.631,0.538,0.5458,0.04,,1,4,0,2018,2020
Alzheimer's Disease,C0002395,GAD1,2571,Q99259,glutamate decarboxylase 1,Enzyme,245,0.486,0.885,0.046164,0.04,,1,4,0,1998,2018
Alzheimer's Disease,C0002395,GBA,2629,P04062,glucosylceramidase beta,,319,0.5,0.808,0.0000014355,0.04,,1,4,0,2012,2017
Alzheimer's Disease,C0002395,DISC1,27185,Q9NRI5,DISC1 scaffold protein,,136,0.548,0.769,0.0000016756,0.04,,1,4,0,2015,2019
Alzheimer's Disease,C0002395,NEAT1,283131,,nuclear paraspeckle assembly transcript 1,,179,0.502,0.769,,0.04,,1,4,0,2018,2019
Alzheimer's Disease,C0002395,GPT,2875,P24298,glutamic--pyruvic transaminase,Enzyme,511,0.403,0.923,0.00000000000000000035945,0.04,,1,4,0,2007,2019
Alzheimer's Disease,C0002395,REM1,28954,O75628,RRAD and GEM like GTPase 1,,177,0.531,0.885,0.000000053363,0.04,,1,4,0,2017,2019
Alzheimer's Disease,C0002395,GZMB,3002,P10144,granzyme B,Enzyme,290,0.453,0.808,0.000000000000036674,0.04,,1,4,0,2009,2015
Alzheimer's Disease,C0002395,UBE2K,3093,P61086,ubiquitin conjugating enzyme E2 K,,58,0.631,0.654,0.98621,0.04,,1,4,0,2003,2018
Alzheimer's Disease,C0002395,HNRNPA1,3178,P09651,heterogeneous nuclear ribonucleoprotein A1,,188,0.529,0.885,0.99911,0.04,,1,4,0,2011,2019
Alzheimer's Disease,C0002395,APBB2,323,Q92870,amyloid beta precursor protein binding family B member 2,,14,0.76,0.231,0.065197,0.04,,1,4,0,2005,2015
Alzheimer's Disease,C0002395,HSPA9,3313,P38646,heat shock protein family A (Hsp70) member 9,,198,0.502,0.885,0.96852,0.04,,0.75,4,0,2014,2017
Alzheimer's Disease,C0002395,HSPB2,3316,Q16082,heat shock protein family B (small) member 2,,290,0.457,0.769,0.00032989,0.04,,1,4,0,2006,2019
Alzheimer's Disease,C0002395,HTR1F,3355,P30939,5-hydroxytryptamine receptor 1F,G-protein coupled receptor,20,0.716,0.192,0.0046656,0.04,,0.5,4,0,2001,2017
Alzheimer's Disease,C0002395,HTR4,3360,Q13639,5-hydroxytryptamine receptor 4,G-protein coupled receptor,80,0.61,0.615,0.024701,0.04,,1,4,0,2003,2017
Alzheimer's Disease,C0002395,APOA4,337,P06727,apolipoprotein A4,,88,0.582,0.577,0.0000054536,0.04,,1,4,0,1997,2015
Alzheimer's Disease,C0002395,IFNA1,3439,P01562,interferon alpha 1,,662,0.371,0.923,,0.04,,0.75,4,0,1993,2017
Alzheimer's Disease,C0002395,IFNA13,3447,P01562,interferon alpha 13,,646,0.374,0.923,,0.04,,0.75,4,0,1993,2017
Alzheimer's Disease,C0002395,APOC3,345,P02656,apolipoprotein C3,,153,0.531,0.731,0.010024,0.04,,1,4,0,2005,2019
Alzheimer's Disease,C0002395,LRRTM3,347731,Q86VH5,leucine rich repeat transmembrane neuronal 3,,7,0.805,0.154,0.97519,0.04,,1,4,0,2006,2014
Alzheimer's Disease,C0002395,KLK3,354,P07288,kallikrein related peptidase 3,Enzyme,358,0.443,0.885,0.0000044271,0.04,,1,4,0,2003,2019
Alzheimer's Disease,C0002395,IL9,3578,P15248,interleukin 9,,291,0.461,0.846,0.00000081087,0.04,,1,4,0,2011,2019
Alzheimer's Disease,C0002395,AQP1,358,P29972,aquaporin 1 (Colton blood group),Ion channel,268,0.467,0.885,0.00000025697,0.04,,1,4,0,2006,2019
Alzheimer's Disease,C0002395,IDO1,3620,P14902,"indoleamine 2,3-dioxygenase 1",,295,0.454,0.846,0.0000033013,0.04,,1,4,0,2013,2019
Alzheimer's Disease,C0002395,ITGAX,3687,P20702,integrin subunit alpha X,,170,0.504,0.769,0.0000000000000013665,0.04,,1,4,0,1997,2018
Alzheimer's Disease,C0002395,ITPR3,3710,Q14573,"inositol 1,4,5-trisphosphate receptor type 3",Ion channel,112,0.555,0.808,0.00000000000000000000025541,0.04,,0.75,4,0,2000,2019
Alzheimer's Disease,C0002395,LGALS3,3958,P17931,galectin 3,Signaling,557,0.392,0.846,0.000023207,0.04,,1,4,0,2018,2020
Alzheimer's Disease,C0002395,LIPA,3988,P38571,"lipase A, lysosomal acid type",Enzyme,130,0.564,0.654,0.0000005532,0.04,,1,4,2,2004,2012
Alzheimer's Disease,C0002395,LRP6,4040,O75581,LDL receptor related protein 6,,134,0.536,0.808,0.69664,0.04,,1,4,0,2007,2018
Alzheimer's Disease,C0002395,ARNTL,406,O00327,aryl hydrocarbon receptor nuclear translocator like,Transcription factor,200,0.51,0.885,0.99444,0.04,,0.75,4,1,2011,2017
Alzheimer's Disease,C0002395,MIR106B,406900,,microRNA 106b,,143,0.523,0.808,,0.04,,1,4,0,2016,2019
Alzheimer's Disease,C0002395,MIR142,406934,,microRNA 142,,220,0.48,0.846,,0.04,,1,4,1,2017,2019
Alzheimer's Disease,C0002395,MIR222,407007,,microRNA 222,,210,0.486,0.808,,0.04,,1,4,0,2015,2019
Alzheimer's Disease,C0002395,MIR29B2,407025,,microRNA 29b-2,,214,0.484,0.885,,0.04,,1,4,0,2013,2019
Alzheimer's Disease,C0002395,MFGE8,4240,Q08431,milk fat globule-EGF factor 8 protein,Enzyme,120,0.548,0.808,0.000043953,0.04,,1,4,0,2008,2019
Alzheimer's Disease,C0002395,MELTF,4241,P08582,melanotransferrin,Enzyme,40,0.663,0.5,0.00000000000000011795,0.04,,1,4,0,1999,2019
Alzheimer's Disease,C0002395,MGAT3,4248,Q09327,"beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase",Enzyme,24,0.743,0.538,0.14725,0.04,,1,4,0,2007,2015
Alzheimer's Disease,C0002395,MS,4397,,multiple sclerosis,,95,0.599,0.692,,0.04,,1,4,0,2017,2017
Alzheimer's Disease,C0002395,ND2,4536,P03891,MTND2,,130,0.601,0.615,,0.04,,1,4,0,1992,1996
Alzheimer's Disease,C0002395,MTR,4548,Q99707,5-methyltetrahydrofolate-homocysteine methyltransferase,,245,0.482,0.808,0.0000000000024301,0.04,,0.75,4,1,2003,2008
Alzheimer's Disease,C0002395,ATF4,468,P18848,activating transcription factor 4,,178,0.507,0.769,0.015659,0.04,,1,4,0,2009,2015
